ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Policy_Start_Year,Policy_Start_Month,Policy_Start_Day,Policy_End_Year,Policy_End_Month,Policy_End_Day,First_Transaction_Year,First_Transaction_Month,First_Transaction_Day
ID_O51ZQ1B,2001-12-11,2011-12-10,Female,37,2001-12-11,1,Saloon,Black,Honda,,,Car Vintage,0,2001,12,11,2011,12,10,2001,2001,2001
ID_VJ1FAVO,2002-03-25,2011-03-24,Male,37,2002-03-25,1,Saloon,Black,TOYOTA,Ekiti,Benue,Car Classic,0,2002,3,25,2011,3,24,2002,2002,2002
ID_ULWS8VL,2003-04-13,2011-04-12,Male,41,2003-04-13,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Vintage,0,2003,4,13,2011,4,12,2003,2003,2003
ID_ZYKGSP7,2003-12-21,2034-05-20,Male,48,2003-12-21,2,Saloon,Black,BMW,Ikeja,Lagos,Car Vintage,0,2003,12,21,2034,5,20,2003,2003,2003
ID_OEWBKGF,2005-08-05,2011-09-29,Female,44,2005-08-05,1,Saloon,Black,Tata,Ajah,Lagos,CVTP,0,2005,8,5,2011,9,29,2005,2005,2005
ID_W0VIHSI,2006-03-24,2011-04-28,Male,45,2006-03-24,1,Saloon,Black,Mack,Warri North,Warri-North,CVTP,0,2006,3,24,2011,4,28,2006,2006,2006
ID_DC8ITK4,2006-07-06,2016-09-06,Male,39,2006-07-06,3,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Vintage,0,2006,7,6,2016,9,6,2006,2006,2006
ID_2SWIGKH,2007-03-04,2037-08-03,Male,37,2007-03-04,1,Saloon,Gold,TOYOTA,Bekwara,Benue,CarSafe,0,2007,3,4,2037,8,3,2007,2007,2007
ID_6BJMPUY,2009-02-26,2016-06-25,Male,37,2009-02-26,1,Saloon,Black,TOYOTA,Argungu,Kebbi,Car Classic,0,2009,2,26,2016,6,25,2009,2009,2009
ID_INECD1O,2009-08-29,2011-01-17,Male,31,2009-08-29,1,Saloon,Red,TOYOTA,Abuja,Abuja,Car Classic,0,2009,8,29,2011,1,17,2009,2009,2009
ID_KRFLCAB,2009-09-13,2011-09-12,Male,62,2009-09-13,2,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,1,2009,9,13,2011,9,12,2009,2009,2009
ID_9ZVJVT3,2009-09-13,2011-09-12,Male,62,2009-09-13,2,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0,2009,9,13,2011,9,12,2009,2009,2009
ID_OIKH829,2009-12-14,2011-02-28,Male,50,2009-12-14,1,Saloon,As Attached,TOYOTA,Surulere,Lagos,CarSafe,0,2009,12,14,2011,2,28,2009,2009,2009
ID_J5BOUB3,2009-12-14,2011-02-28,Male,50,2009-12-14,1,Saloon,As Attached,TOYOTA,Surulere,Lagos,CarSafe,0,2009,12,14,2011,2,28,2009,2009,2009
ID_9QG0NXE,2010-01-01,2010-12-31,Male,51,2010-01-01,3,Saloon,As Attached,Lexus,Victoria Island,Lagos,Customized Motor,0,2010,1,1,2010,12,31,2010,2010,2010
ID_BI6U84E,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,As Attached,Victoria Island,Lagos,Motor Cycle,1,2010,1,1,2010,12,31,2010,2010,2010
ID_USRZ6JE,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_XFCJ8Y8,2010-01-01,2011-05-31,Other,93,2010-01-01,7,Saloon,White,Honda,Lagos Island,Lagos,CarSafe,0,2010,1,1,2011,5,31,2010,2010,2010
ID_EH2905B,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,CVTP,1,2010,1,1,2010,12,31,2010,2010,2010
ID_3SIUOWK,2010-01-01,2010-12-31,Female,27,2010-01-01,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
ID_F7192HK,2010-01-01,2010-12-31,Other,20,2010-01-01,4,Saloon,As Attached,As Attached,Yaba,Benue,CVTP,1,2010,1,1,2010,12,31,2010,2010,2010
ID_SX4S3J7,2010-01-01,2010-12-31,Male,33,2010-01-01,1,Saloon,Black,Mercedes,Yaba,Benue,Car Classic,1,2010,1,1,2010,12,31,2010,2010,2010
ID_3XGNAOP,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,.,Victoria Island,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_2LJ6U4O,2010-01-01,2010-12-31,Other,20,2010-01-01,3,Saloon,As Attached,.,Lagos,Lagos,Muuve,1,2010,1,1,2010,12,31,2010,2010,2010
ID_VABPCAF,2010-01-01,2010-12-31,,120,2010-01-01,4,Saloon,As Attached,As Attached,Victoria Island,Lagos,CVTP,1,2010,1,1,2010,12,31,2010,2010,2010
ID_SPXFNN4,2010-01-01,2010-12-31,Male,51,2010-01-01,3,JEEP,As Attached,TOYOTA,Victoria Island,Lagos,Customized Motor,0,2010,1,1,2010,12,31,2010,2010,2010
ID_T2MO8E8,2010-01-01,2010-12-31,Female,50,2010-01-01,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,CarSafe,0,2010,1,1,2010,12,31,2010,2010,2010
